"REF_DATE","GEO","DGUID","Sexual orientation","Sex","Age group","Selected Sociodemographic characteristics","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271206984","1.1.1.1.18.1","1005900","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271206990","1.1.1.1.19.1","25716400","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271207044","1.1.1.1.28.1","18180100","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271207050","1.1.1.1.29.1","5370600","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271207056","1.1.1.1.30.1","815600","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271207062","1.1.1.1.31.1","2456900","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271206924","1.1.1.1.8.1","2551500","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271206930","1.1.1.1.9.1","4751200","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271206936","1.1.1.1.10.1","15467900","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271206942","1.1.1.1.11.1","4967200","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271206948","1.1.1.1.12.1","5220200","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271206954","1.1.1.1.13.1","5438100","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271206960","1.1.1.1.14.1","5492000","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271206966","1.1.1.1.15.1","5646600","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271207008","1.1.1.1.22.1","19147800","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271207038","1.1.1.1.27.1","6000100","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271207014","1.1.1.1.23.1","14039600","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271207020","1.1.1.1.24.1","2999000","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271207032","1.1.1.1.26.1","8040900","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271206882","1.1.1.1.1.1","26846900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271209120","1.2.1.1.2.1","56300","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271209126","1.2.1.1.3.1","99300","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271209132","1.2.1.1.4.1","28900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271209138","1.2.1.1.5.1","146600","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271209144","1.2.1.1.6.1","31900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271209150","1.2.1.1.7.1","373800","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271209228","1.2.1.1.20.1","364900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271209234","1.2.1.1.21.1","40800","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271209204","1.2.1.1.16.1","67100","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271209210","1.2.1.1.17.1","338400","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271209216","1.2.1.1.18.1","16700","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271209222","1.2.1.1.19.1","387300","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271209276","1.2.1.1.28.1","248000","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271209282","1.2.1.1.29.1","107400","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271209288","1.2.1.1.30.1","25500","E","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271209294","1.2.1.1.31.1","24000","E","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271209156","1.2.1.1.8.1","19600","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271209162","1.2.1.1.9.1","60900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271209168","1.2.1.1.10.1","246500","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271209174","1.2.1.1.11.1","76700","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271209180","1.2.1.1.12.1","76600","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271209186","1.2.1.1.13.1","78300","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271209192","1.2.1.1.14.1","84900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271209198","1.2.1.1.15.1","88300","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271209240","1.2.1.1.22.1","320600","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271209270","1.2.1.1.27.1","75900","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271209246","1.2.1.1.23.1","235400","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271209252","1.2.1.1.24.1","57200","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271209264","1.2.1.1.26.1","103600","","","","0"
"2015/2018","Canada","2016A000011124","Lesbian or gay","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271209114","1.2.1.1.1.1","405700","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271211352","1.3.1.1.2.1","80800","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271211358","1.3.1.1.3.1","64900","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271211364","1.3.1.1.4.1","39200","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271211370","1.3.1.1.5.1","129800","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271211376","1.3.1.1.6.1","94200","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271211382","1.3.1.1.7.1","399000","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271211460","1.3.1.1.20.1","441100","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271211466","1.3.1.1.21.1","52000","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271211436","1.3.1.1.16.1","87800","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271211442","1.3.1.1.17.1","403000","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271211448","1.3.1.1.18.1","37900","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271211454","1.3.1.1.19.1","453400","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271211508","1.3.1.1.28.1","366900","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271211514","1.3.1.1.29.1","79200","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271211520","1.3.1.1.30.1","24800","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271211526","1.3.1.1.31.1","22100","E","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271211388","1.3.1.1.8.1","38000","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271211394","1.3.1.1.9.1","68300","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271211400","1.3.1.1.10.1","203400","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271211406","1.3.1.1.11.1","144400","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271211412","1.3.1.1.12.1","110500","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271211418","1.3.1.1.13.1","97900","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271211424","1.3.1.1.14.1","84900","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271211430","1.3.1.1.15.1","53400","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271211472","1.3.1.1.22.1","362200","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271211502","1.3.1.1.27.1","112700","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271211478","1.3.1.1.23.1","212400","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271211484","1.3.1.1.24.1","83900","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271211496","1.3.1.1.26.1","179000","","","","0"
"2015/2018","Canada","2016A000011124","Bisexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271211346","1.3.1.1.1.1","493200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271213584","2.1.1.1.2.1","945500","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271213590","2.1.1.1.3.1","174200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271213596","2.1.1.1.4.1","244300","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271213602","2.1.1.1.5.1","216400","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271213608","2.1.1.1.6.1","349100","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271213614","2.1.1.1.7.1","1443900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271213692","2.1.1.1.20.1","1006000","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271213698","2.1.1.1.21.1","786900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271213668","2.1.1.1.16.1","82900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271213674","2.1.1.1.17.1","1705600","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271213680","2.1.1.1.18.1","97600","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271213686","2.1.1.1.19.1","1683800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271213740","2.1.1.1.28.1","1566200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271213746","2.1.1.1.29.1","156200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271213752","2.1.1.1.30.1","45400","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271213758","2.1.1.1.31.1","25000","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271213620","2.1.1.1.8.1","237800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271213626","2.1.1.1.9.1","339200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271213632","2.1.1.1.10.1","985600","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271213638","2.1.1.1.11.1","293900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271213644","2.1.1.1.12.1","352900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271213650","2.1.1.1.13.1","357800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271213656","2.1.1.1.14.1","384500","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271213662","2.1.1.1.15.1","404000","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271213704","2.1.1.1.22.1","1215200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271213734","2.1.1.1.27.1","453900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271213710","2.1.1.1.23.1","878100","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271213716","2.1.1.1.24.1","152200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271213728","2.1.1.1.26.1","628700","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Heterosexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271213578","2.1.1.1.1.1","1793000","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271215816","2.2.1.1.2.1","5700","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271215822","2.2.1.1.3.1","6000","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271215828","2.2.1.1.4.1","1500","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271215834","2.2.1.1.5.1","6900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271215840","2.2.1.1.6.1","1600","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271215846","2.2.1.1.7.1","23800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271215924","2.2.1.1.20.1","18200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271215930","2.2.1.1.21.1","7200","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271215900","2.2.1.1.16.1","","F","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271215906","2.2.1.1.17.1","23800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271215912","2.2.1.1.18.1","","F","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271215918","2.2.1.1.19.1","23800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271215972","2.2.1.1.28.1","22100","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271215978","2.2.1.1.29.1","2000","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271215984","2.2.1.1.30.1","","F","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271215990","2.2.1.1.31.1","","F","","","0"
